dataset,model,threshold,n_total,accepted_n,rejected_n,coverage,accuracy_on_accepted,macro_f1_on_accepted_present_labels,operational_recall_correct_accepted_over_all,false_discovery_rate_wrong_among_accepted,false_positive_rate_wrong_accepted_over_all,macro_one_vs_rest_fpr
sherloc_pooled_random_validation,cnn,0.55,438,204,234,0.4657534246575342,0.8235294117647058,0.4205441110613524,0.3835616438356164,0.17647058823529413,0.0821917808219178,0.020367577181499764
sherloc_pooled_random_validation,cnn,0.6,438,175,263,0.3995433789954338,0.8342857142857143,0.42534412955465584,0.3333333333333333,0.1657142857142857,0.06621004566210045,0.016943269805475066
sherloc_pooled_random_validation,cnn,0.65,438,145,293,0.3310502283105023,0.8620689655172413,0.41235521235521233,0.2853881278538813,0.13793103448275862,0.045662100456621,0.012062384293882181
sherloc_pooled_random_validation,cnn,0.7,438,131,307,0.2990867579908676,0.8625954198473282,0.3959785042543663,0.2579908675799087,0.13740458015267176,0.0410958904109589,0.011258329414592193
sherloc_pooled_random_validation,cnn,0.75,438,103,335,0.23515981735159816,0.8932038834951457,0.5132712215320911,0.2100456621004566,0.10679611650485436,0.02511415525114155,0.00713301849665486
sherloc_pooled_random_validation,cnn,0.8,438,83,355,0.18949771689497716,0.891566265060241,0.4219827586206897,0.1689497716894977,0.10843373493975904,0.02054794520547945,0.005995425029515939
sherloc_pooled_random_validation,cnn,0.85,438,67,371,0.15296803652968036,0.8805970149253731,0.3833333333333333,0.13470319634703196,0.11940298507462686,0.0182648401826484,0.00525137741046832
sherloc_pooled_random_validation,cnn,0.9,438,45,393,0.10273972602739725,0.8666666666666667,0.23214285714285715,0.08904109589041095,0.13333333333333333,0.0136986301369863,0.004113783943329398
sherloc_pooled_random_validation,cnn,0.95,438,16,422,0.0365296803652968,0.9375,0.4838709677419355,0.03424657534246575,0.0625,0.00228310502283105,0.000744047619047619
sherloc_pooled_random_validation,mst,0.0,438,438,0,1.0,0.7671232876712328,0.6233133362470037,0.7671232876712328,0.2328767123287671,0.2328767123287671,0.04405804669042835
sherloc_pooled_random_validation,mst,0.05,438,438,0,1.0,0.7671232876712328,0.6233133362470037,0.7671232876712328,0.2328767123287671,0.2328767123287671,0.04405804669042835
sherloc_pooled_random_validation,mst,0.1,438,438,0,1.0,0.7671232876712328,0.6233133362470037,0.7671232876712328,0.2328767123287671,0.2328767123287671,0.04405804669042835
sherloc_pooled_random_validation,mst,0.15,438,438,0,1.0,0.7671232876712328,0.6233133362470037,0.7671232876712328,0.2328767123287671,0.2328767123287671,0.04405804669042835
sherloc_pooled_random_validation,mst,0.2,438,438,0,1.0,0.7671232876712328,0.6233133362470037,0.7671232876712328,0.2328767123287671,0.2328767123287671,0.04405804669042835
sherloc_pooled_random_validation,mst,0.25,438,438,0,1.0,0.7671232876712328,0.6233133362470037,0.7671232876712328,0.2328767123287671,0.2328767123287671,0.04405804669042835
sherloc_pooled_random_validation,mst,0.3,438,437,1,0.997716894977169,0.7688787185354691,0.6250425809985346,0.7671232876712328,0.2311212814645309,0.23059360730593606,0.04364753765922967
sherloc_pooled_random_validation,mst,0.35,438,435,3,0.9931506849315068,0.7724137931034483,0.6264270886947029,0.7671232876712328,0.22758620689655173,0.22602739726027396,0.04257733217977761
sherloc_pooled_random_validation,mst,0.4,438,427,11,0.9748858447488584,0.775175644028103,0.5282030905077263,0.7557077625570776,0.22482435597189696,0.2191780821917808,0.041411248554923376
sherloc_pooled_random_validation,mst,0.45,438,412,26,0.9406392694063926,0.7815533980582524,0.5289760957385414,0.7351598173515982,0.21844660194174756,0.2054794520547945,0.03922693142580592
sherloc_pooled_random_validation,mst,0.5,438,377,61,0.860730593607306,0.8169761273209549,0.5536181575433912,0.7031963470319634,0.1830238726790451,0.15753424657534246,0.03067795045314808
sherloc_pooled_random_validation,mst,0.55,438,344,94,0.7853881278538812,0.8575581395348837,0.5936452586532434,0.6735159817351598,0.14244186046511628,0.11187214611872145,0.02127514435422981
sherloc_pooled_random_validation,mst,0.6,438,316,122,0.7214611872146118,0.8734177215189873,0.757900203975487,0.6301369863013698,0.12658227848101267,0.091324200913242,0.017109816303969225
sherloc_pooled_random_validation,mst,0.65,438,263,175,0.6004566210045662,0.8783269961977186,0.7514746889746889,0.5273972602739726,0.12167300380228137,0.0730593607305936,0.012890571759574757
sherloc_pooled_random_validation,mst,0.7,438,239,199,0.545662100456621,0.9037656903765691,0.7852545214836837,0.4931506849315068,0.09623430962343096,0.05251141552511415,0.009343840599377604
sherloc_pooled_random_validation,mst,0.75,438,225,213,0.5136986301369864,0.9288888888888889,0.846987246225924,0.4771689497716895,0.07111111111111111,0.0365296803652968,0.006635090684685206
sherloc_pooled_random_validation,mst,0.8,438,204,234,0.4657534246575342,0.9411764705882353,0.8675133689839571,0.4383561643835616,0.058823529411764705,0.0273972602739726,0.004741922623890731
sherloc_pooled_random_validation,mst,0.85,438,183,255,0.4178082191780822,0.9617486338797814,0.9328345126537897,0.4018264840182648,0.03825136612021858,0.01598173515981735,0.002788747302853886
sherloc_pooled_random_validation,mst,0.9,438,128,310,0.2922374429223744,0.9609375,0.8674982911825017,0.2808219178082192,0.0390625,0.01141552511415525,0.0019846924235638968
