Wave,Anorthite
790.974,1971.27
791.451,1971.19
791.928,1967.88
792.403,1964.24
792.879,1960.53
793.354,1955.59
793.83,1961.2
794.307,1969.55
794.782,1975.97
795.258,1979.65
795.733,1981.92
796.209,1982.02
796.684,1981.55
797.16,1980.16
797.634,1977.62
798.111,1974.36
798.587,1970.88
799.061,1967.06
799.538,1962.99
800.012,1958.67
800.488,1954.13
800.963,1952.02
801.439,1948.13
801.913,1943.7
802.389,1937.1
802.863,1926.22
803.339,1922.86
803.813,1924.46
804.287,1929.69
804.763,1937.57
805.238,1946.25
805.714,1957.96
806.188,1958.16
806.663,1953.94
807.137,1939.4
807.613,1930.12
808.087,1931.88
808.561,1944.47
809.037,1955.83
809.51,1963.67
809.986,1970.09
810.46,1973.34
810.934,1973.95
811.409,1972.5
811.883,1968.89
812.357,1963.55
812.832,1957.78
813.306,1951.9
813.779,1947.31
814.255,1945.06
814.728,1942.93
815.202,1941.86
815.677,1941.53
816.151,1942.3
816.624,1944
817.1,1947.67
817.573,1953.71
818.046,1959.61
818.522,1964.95
818.995,1967.99
819.468,1964.02
819.941,1958.51
820.417,1951.98
820.89,1944.59
821.363,1939.84
821.838,1935.59
822.311,1935.26
822.784,1938.46
823.257,1947.63
823.73,1952.94
824.205,1951.95
824.678,1945.63
825.151,1933.88
825.624,1929.61
826.097,1948.14
826.572,1961.16
827.045,1970.65
827.518,1978.35
827.991,1980.88
828.464,1976.6
828.938,1965.06
829.411,1953.1
829.884,1941.13
830.356,1930.6
830.829,1931.37
831.302,1932.15
831.774,1935.73
832.249,1942.3
832.721,1951.21
833.194,1941.76
833.667,1926.5
834.139,1912.71
834.612,1904.74
835.084,1925.9
835.556,1943.95
836.029,1956.63
836.501,1965.44
836.974,1970.44
837.448,1972.24
837.92,1970.28
838.392,1964.18
838.865,1954.97
839.337,1948.86
839.809,1943.87
840.281,1938.21
840.753,1934.17
841.225,1930.89
841.698,1932.14
842.17,1934.47
842.642,1939.29
843.114,1944.87
843.586,1949.58
844.058,1953.97
844.53,1958.69
845.002,1961.89
845.474,1962.48
845.945,1960.93
846.417,1955.06
846.889,1948.59
847.359,1942.33
847.831,1935.75
848.302,1930.32
848.774,1930.21
849.246,1935.88
849.718,1939.1
850.189,1941.58
850.661,1943.5
851.132,1944.24
851.604,1945.39
852.076,1947.51
852.545,1949.47
853.017,1950.8
853.488,1951.83
853.96,1952.17
854.431,1951.81
854.902,1949.65
855.374,1946.25
855.843,1942.2
856.315,1938.5
856.786,1935.77
857.257,1934.65
857.728,1935.09
858.2,1936.63
858.669,1939.31
859.14,1942.82
859.611,1947.15
860.082,1952.69
860.551,1958.71
861.023,1964.68
861.494,1967.47
861.965,1966.22
862.436,1957.32
862.905,1947.75
863.376,1938.43
863.847,1929.48
864.317,1926.87
864.786,1928.42
865.257,1934.13
865.728,1941.4
